epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41387,1.72134,4.94514,1.57524,0.23204,0.12727,0.09153,0.04929,1.64453,13.5781,1.54979,0.00058,0.00058,0.00058
2,10.7508,1.59466,2.01199,1.4934,0.32204,0.39697,0.26195,0.10796,2.10295,4.63269,2.12017,0.00117416,0.00117416,0.00117416
3,14.924,1.71189,1.92795,1.56578,0.04161,0.08485,0.00922,0.00338,3.3279,7.45278,5.3199,0.00176238,0.00176238,0.00176238
4,18.9775,1.68276,1.84676,1.56585,0.13648,0.25455,0.07168,0.03004,2.36861,3.62672,2.71057,0.0019703,0.0019703,0.0019703
5,23.1057,1.69883,1.77573,1.60106,0.3633,0.3095,0.25197,0.12317,2.0894,3.31696,2.22246,0.0019604,0.0019604,0.0019604
6,28.0389,1.62455,1.65899,1.51597,0.23285,0.25938,0.14244,0.05367,2.20408,6.14466,2.16985,0.0019505,0.0019505,0.0019505
7,32.1129,1.57574,1.52731,1.4973,0.36858,0.398,0.3064,0.13383,1.92755,2.5711,1.86046,0.0019406,0.0019406,0.0019406
8,36.3494,1.58438,1.55208,1.50517,0.41442,0.32121,0.29247,0.13735,2.05415,2.42906,2.24104,0.0019307,0.0019307,0.0019307
9,40.5515,1.54132,1.48519,1.46099,0.48142,0.4303,0.44447,0.22291,1.78336,1.90036,1.71164,0.0019208,0.0019208,0.0019208
10,44.7923,1.53259,1.41025,1.43526,0.43618,0.56061,0.48123,0.22532,1.85752,1.99026,1.72406,0.0019109,0.0019109,0.0019109
11,49.008,1.49135,1.4016,1.41805,0.60943,0.50303,0.53763,0.2849,1.64662,1.89556,1.62322,0.001901,0.001901,0.001901
12,53.2464,1.50739,1.41771,1.42775,0.60459,0.50606,0.55015,0.31886,1.57827,1.72394,1.59645,0.0018911,0.0018911,0.0018911
13,57.5241,1.47194,1.32647,1.41508,0.68881,0.51647,0.60666,0.32517,1.59131,1.9469,1.54016,0.0018812,0.0018812,0.0018812
14,61.9057,1.51541,1.4431,1.47312,0.61352,0.52915,0.5746,0.30429,1.58339,1.66074,1.61555,0.0018713,0.0018713,0.0018713
15,65.9758,1.41356,1.32077,1.38405,0.60517,0.4697,0.5139,0.29569,1.61279,1.62543,1.60078,0.0018614,0.0018614,0.0018614
16,70.0315,1.45565,1.29729,1.3882,0.61337,0.52727,0.58335,0.31975,1.64292,1.59795,1.63478,0.0018515,0.0018515,0.0018515
17,74.0974,1.41427,1.26357,1.35051,0.64403,0.56364,0.62976,0.37206,1.49993,1.36347,1.50627,0.0018416,0.0018416,0.0018416
18,78.4134,1.36446,1.1838,1.34491,0.68921,0.54848,0.63205,0.36686,1.58487,1.57428,1.55988,0.0018317,0.0018317,0.0018317
19,82.4728,1.36425,1.21741,1.34946,0.69676,0.57273,0.64961,0.35675,1.62038,1.40416,1.55659,0.0018218,0.0018218,0.0018218
20,86.6241,1.31169,1.169,1.31961,0.65966,0.54035,0.61249,0.33622,1.55788,1.38608,1.54989,0.0018119,0.0018119,0.0018119
21,90.6816,1.3715,1.15113,1.34816,0.60522,0.65504,0.64508,0.37137,1.5244,1.39061,1.49634,0.001802,0.001802,0.001802
22,94.8854,1.32708,1.17174,1.32607,0.70415,0.57879,0.64667,0.36203,1.65768,1.36019,1.57362,0.0017921,0.0017921,0.0017921
23,98.9513,1.41775,1.19997,1.37461,0.69185,0.60606,0.66348,0.39141,1.48978,1.31916,1.4896,0.0017822,0.0017822,0.0017822
24,103.193,1.30552,1.08748,1.29875,0.63366,0.66567,0.67496,0.39656,1.46189,1.33219,1.46993,0.0017723,0.0017723,0.0017723
25,107.335,1.34096,1.12321,1.31991,0.67027,0.59752,0.65561,0.37655,1.54265,1.36827,1.52594,0.0017624,0.0017624,0.0017624
26,111.467,1.28862,1.09809,1.28043,0.58089,0.61212,0.64204,0.36588,1.5779,1.38023,1.55423,0.0017525,0.0017525,0.0017525
27,115.551,1.32357,1.06206,1.29699,0.65991,0.62328,0.67882,0.38265,1.55445,1.30134,1.5197,0.0017426,0.0017426,0.0017426
28,119.587,1.27512,1.04557,1.27412,0.66756,0.59024,0.63509,0.37073,1.57154,1.45973,1.53513,0.0017327,0.0017327,0.0017327
29,123.623,1.25245,1.02307,1.24587,0.7518,0.62727,0.70506,0.41506,1.47729,1.19026,1.49596,0.0017228,0.0017228,0.0017228
30,127.85,1.2217,0.98863,1.24731,0.74662,0.55758,0.64349,0.37282,1.54285,1.28136,1.53988,0.0017129,0.0017129,0.0017129
31,132.023,1.25265,1.01412,1.24882,0.74335,0.61438,0.6803,0.39561,1.51016,1.2799,1.5074,0.001703,0.001703,0.001703
32,136.12,1.2073,1.18812,1.21426,0.74929,0.59091,0.67383,0.40942,1.46248,1.24412,1.51608,0.0016931,0.0016931,0.0016931
33,140.232,1.24097,0.97424,1.25322,0.72704,0.63333,0.70964,0.43799,1.42071,1.14579,1.43879,0.0016832,0.0016832,0.0016832
34,144.442,1.2387,1.03046,1.26937,0.6843,0.61818,0.67764,0.40908,1.45153,1.26888,1.44137,0.0016733,0.0016733,0.0016733
35,148.481,1.26224,1.01854,1.29118,0.74492,0.61063,0.67742,0.38759,1.55178,1.27116,1.55117,0.0016634,0.0016634,0.0016634
36,152.655,1.21438,0.9997,1.24242,0.69888,0.64001,0.69155,0.41436,1.46708,1.21349,1.47826,0.0016535,0.0016535,0.0016535
37,156.702,1.26655,1.02499,1.30457,0.7064,0.6303,0.7171,0.42815,1.39838,1.15096,1.41747,0.0016436,0.0016436,0.0016436
38,160.984,1.19723,0.93727,1.23075,0.71213,0.67576,0.72408,0.42443,1.48161,1.14482,1.47028,0.0016337,0.0016337,0.0016337
