epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,175.574,1.19061,0.96928,1.19875,0.70761,0.62424,0.67611,0.39546,1.4724,1.26526,1.43472,0.0015941,0.0015941,0.0015941
43,179.609,1.22344,0.94531,1.21735,0.72449,0.63333,0.68496,0.39434,1.524,1.3666,1.47823,0.0015842,0.0015842,0.0015842
44,183.736,1.2472,0.95264,1.24003,0.6631,0.59394,0.6234,0.34092,1.58914,1.4226,1.53949,0.0015743,0.0015743,0.0015743
45,187.783,1.20975,0.94595,1.2212,0.77182,0.60909,0.68709,0.38793,1.55174,1.31383,1.49258,0.0015644,0.0015644,0.0015644
46,191.831,1.17693,0.95825,1.19226,0.78414,0.60909,0.72804,0.44036,1.42501,1.16836,1.39969,0.0015545,0.0015545,0.0015545
47,196.016,1.17246,0.93431,1.19726,0.69441,0.65758,0.70285,0.42559,1.43517,1.20501,1.41135,0.0015446,0.0015446,0.0015446
48,200.043,1.1402,0.89275,1.1781,0.6317,0.48788,0.52806,0.27513,1.79776,1.8558,1.68732,0.0015347,0.0015347,0.0015347
49,204.169,1.25608,1.06026,1.22958,0.78484,0.6,0.70471,0.39699,1.51155,1.27205,1.43506,0.0015248,0.0015248,0.0015248
50,208.144,1.22932,1.01042,1.2635,0.71833,0.6,0.68277,0.38881,1.51885,1.25797,1.45607,0.0015149,0.0015149,0.0015149
51,212.136,1.1877,0.92656,1.18996,0.6874,0.5697,0.65298,0.36726,1.55455,1.31279,1.48921,0.001505,0.001505,0.001505
52,216.15,1.16844,0.92991,1.18163,0.68998,0.63396,0.69869,0.40301,1.52072,1.16797,1.42929,0.0014951,0.0014951,0.0014951
53,220.124,1.16618,0.9141,1.18187,0.73153,0.62753,0.70209,0.41553,1.4747,1.25502,1.46535,0.0014852,0.0014852,0.0014852
54,224.17,1.143,0.90014,1.17913,0.75671,0.57496,0.67814,0.38675,1.55766,1.33955,1.48162,0.0014753,0.0014753,0.0014753
55,228.138,1.21168,0.9645,1.18472,0.80821,0.50606,0.64041,0.37354,1.52896,1.39302,1.49081,0.0014654,0.0014654,0.0014654
56,232.121,1.15194,0.89343,1.18518,0.65947,0.65455,0.66508,0.37672,1.54165,1.27449,1.46598,0.0014555,0.0014555,0.0014555
57,236.203,1.16364,0.91599,1.20835,0.76457,0.61015,0.72055,0.40744,1.54897,1.25506,1.46091,0.0014456,0.0014456,0.0014456
58,240.22,1.14575,0.91403,1.20694,0.67492,0.62727,0.67468,0.39618,1.45812,1.32986,1.4097,0.0014357,0.0014357,0.0014357
59,244.215,1.12112,0.85479,1.18032,0.83846,0.58485,0.71642,0.42411,1.48615,1.23897,1.46599,0.0014258,0.0014258,0.0014258
60,248.269,1.13879,0.91173,1.17333,0.7626,0.59697,0.67219,0.37068,1.56028,1.35385,1.52253,0.0014159,0.0014159,0.0014159
61,252.31,1.12204,0.83672,1.16297,0.72066,0.6,0.67209,0.39639,1.53819,1.26894,1.48939,0.001406,0.001406,0.001406
62,256.358,1.12808,0.88446,1.15871,0.73153,0.60277,0.67315,0.38867,1.54911,1.28115,1.4937,0.0013961,0.0013961,0.0013961
63,260.367,1.16271,0.8427,1.17028,0.7821,0.60303,0.72182,0.4228,1.50336,1.19825,1.44148,0.0013862,0.0013862,0.0013862
64,264.371,1.12578,0.82993,1.18093,0.81392,0.54545,0.69093,0.38987,1.55905,1.23195,1.51656,0.0013763,0.0013763,0.0013763
65,268.338,1.13045,0.85062,1.18753,0.83118,0.64545,0.75617,0.44914,1.47695,1.02654,1.41381,0.0013664,0.0013664,0.0013664
66,272.508,1.13575,0.85968,1.18212,0.82295,0.63636,0.76054,0.46303,1.41994,1.12083,1.3595,0.0013565,0.0013565,0.0013565
67,276.628,1.10329,0.8073,1.13667,0.80558,0.64848,0.74828,0.43988,1.44766,1.13081,1.39048,0.0013466,0.0013466,0.0013466
68,280.668,1.10612,0.83817,1.14609,0.64621,0.69187,0.71363,0.40144,1.53563,1.19956,1.46922,0.0013367,0.0013367,0.0013367
