epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,244.979,1.28593,0.93975,0.01001,0.70721,0.55629,0.64758,0.38279,1.57616,1.44521,0.01547,0.0015941,0.0015941,0.0015941
43,250.729,1.34358,0.98575,0.01107,0.72644,0.62121,0.69569,0.42993,1.52647,1.31097,0.01594,0.0015842,0.0015842,0.0015842
44,256.614,1.37547,0.9619,0.01075,0.71812,0.58672,0.64946,0.37296,1.6268,1.4585,0.01814,0.0015743,0.0015743,0.0015743
45,262.391,1.34542,0.91793,0.01072,0.76829,0.58485,0.67528,0.38294,1.60807,1.38496,0.0169,0.0015644,0.0015644,0.0015644
46,268.043,1.34055,0.95568,0.01034,0.67262,0.61515,0.6418,0.35789,1.69577,1.49328,0.01847,0.0015545,0.0015545,0.0015545
47,273.673,1.30328,0.92487,0.01061,0.7506,0.65666,0.73925,0.42553,1.56679,1.23461,0.01618,0.0015446,0.0015446,0.0015446
48,279.444,1.2631,0.87533,0.00981,0.70156,0.64823,0.68942,0.40654,1.60525,1.28313,0.0161,0.0015347,0.0015347,0.0015347
49,285.182,1.29943,0.9753,0.0101,0.77009,0.59091,0.7011,0.40537,1.65152,1.48093,0.01636,0.0015248,0.0015248,0.0015248
50,290.813,1.29282,0.92869,0.01035,0.72499,0.6697,0.73282,0.42238,1.62371,1.32102,0.01694,0.0015149,0.0015149,0.0015149
51,296.599,1.25422,0.88701,0.00943,0.79237,0.63939,0.71398,0.42032,1.58703,1.4909,0.01629,0.001505,0.001505,0.001505
52,302.366,1.26622,0.81892,0.00977,0.81751,0.63802,0.73219,0.43462,1.49885,1.44922,0.01515,0.0014951,0.0014951,0.0014951
53,308.129,1.26194,0.92199,0.0097,0.83811,0.59615,0.72173,0.43188,1.50419,1.30877,0.01485,0.0014852,0.0014852,0.0014852
54,313.772,1.24179,0.86427,0.00963,0.81106,0.61212,0.72508,0.42805,1.61908,1.2864,0.01611,0.0014753,0.0014753,0.0014753
55,319.343,1.24754,0.88644,0.00879,0.78621,0.6303,0.70906,0.42177,1.49606,1.35545,0.01472,0.0014654,0.0014654,0.0014654
56,325.228,1.29206,0.83617,0.01002,0.76562,0.61371,0.71099,0.40201,1.5972,1.36683,0.0162,0.0014555,0.0014555,0.0014555
57,330.808,1.27029,0.87775,0.01028,0.71907,0.68485,0.74333,0.43491,1.54984,1.28534,0.01559,0.0014456,0.0014456,0.0014456
58,336.657,1.26765,0.84094,0.01115,0.80526,0.63906,0.72963,0.42116,1.61609,1.30058,0.01643,0.0014357,0.0014357,0.0014357
59,342.292,1.21921,0.80184,0.00974,0.75895,0.62424,0.69677,0.41317,1.6278,1.27391,0.01619,0.0014258,0.0014258,0.0014258
60,348.21,1.23139,0.87386,0.01009,0.66993,0.61818,0.6614,0.38762,1.6127,1.40888,0.01622,0.0014159,0.0014159,0.0014159
61,353.81,1.22637,0.79484,0.0096,0.73461,0.64848,0.72945,0.42311,1.61685,1.32619,0.01584,0.001406,0.001406,0.001406
62,359.487,1.21426,0.82135,0.00882,0.74506,0.64242,0.70503,0.40788,1.61794,1.32133,0.0161,0.0013961,0.0013961,0.0013961
63,365.337,1.23618,0.78903,0.00924,0.74207,0.64516,0.73614,0.44288,1.54153,1.18623,0.01541,0.0013862,0.0013862,0.0013862
64,371.181,1.2132,0.76587,0.0093,0.76519,0.61226,0.71643,0.44515,1.50939,1.30574,0.01518,0.0013763,0.0013763,0.0013763
65,376.907,1.21452,0.77615,0.01073,0.70322,0.64848,0.71074,0.42173,1.5752,1.39024,0.01554,0.0013664,0.0013664,0.0013664
66,382.527,1.20677,0.83551,0.00971,0.85421,0.59697,0.73672,0.44134,1.55505,1.38122,0.01532,0.0013565,0.0013565,0.0013565
67,388.36,1.15653,0.74144,0.00832,0.74341,0.68482,0.73619,0.44645,1.52914,1.33911,0.01548,0.0013466,0.0013466,0.0013466
68,394.157,1.21335,0.81317,0.00901,0.79071,0.63333,0.7238,0.43912,1.53522,1.35303,0.01563,0.0013367,0.0013367,0.0013367
69,399.793,1.17233,0.73229,0.00953,0.72453,0.66667,0.71712,0.43107,1.55098,1.34634,0.01548,0.0013268,0.0013268,0.0013268
70,405.639,1.19964,0.72887,0.00874,0.68265,0.70303,0.72518,0.4585,1.48475,1.10548,0.01521,0.0013169,0.0013169,0.0013169
71,411.598,1.16408,0.76986,0.00895,0.73854,0.66765,0.72119,0.4353,1.55618,1.24077,0.01512,0.001307,0.001307,0.001307
72,417.374,1.15557,0.77051,0.00815,0.77999,0.60163,0.70528,0.43955,1.47588,1.27786,0.0145,0.0012971,0.0012971,0.0012971
73,423.145,1.1219,0.70053,0.0079,0.76277,0.65281,0.73278,0.45106,1.51947,1.18976,0.01499,0.0012872,0.0012872,0.0012872
74,428.787,1.12599,0.67853,0.00906,0.77023,0.66667,0.73455,0.44737,1.53696,1.31526,0.01567,0.0012773,0.0012773,0.0012773
75,434.912,1.17861,0.75619,0.00825,0.78258,0.64355,0.72307,0.44224,1.54829,1.31705,0.01531,0.0012674,0.0012674,0.0012674
76,440.545,1.12386,0.72399,0.00816,0.78051,0.67576,0.74561,0.46562,1.51739,1.2805,0.01505,0.0012575,0.0012575,0.0012575
77,446.466,1.14712,0.73104,0.00876,0.80034,0.66809,0.74015,0.45038,1.5606,1.30974,0.01564,0.0012476,0.0012476,0.0012476
78,452.324,1.13218,0.6871,0.00815,0.78338,0.65752,0.75451,0.46627,1.49139,1.2157,0.01521,0.0012377,0.0012377,0.0012377
79,458.119,1.1349,0.67109,0.00815,0.75799,0.67387,0.73963,0.46791,1.46582,1.28591,0.0146,0.0012278,0.0012278,0.0012278
80,463.912,1.12124,0.69503,0.00828,0.83979,0.61818,0.74735,0.45751,1.54924,1.25047,0.01512,0.0012179,0.0012179,0.0012179
81,469.548,1.11249,0.68935,0.00835,0.75607,0.62121,0.71897,0.43477,1.55739,1.3236,0.01551,0.001208,0.001208,0.001208
82,475.174,1.10351,0.71106,0.00876,0.81875,0.64242,0.76406,0.45431,1.56483,1.2511,0.01551,0.0011981,0.0011981,0.0011981
83,480.993,1.08869,0.66473,0.00772,0.75577,0.67576,0.73016,0.45925,1.4627,1.3052,0.01447,0.0011882,0.0011882,0.0011882
84,486.682,1.09535,0.66873,0.00838,0.71108,0.68485,0.72129,0.45541,1.49122,1.36213,0.01422,0.0011783,0.0011783,0.0011783
85,492.185,1.11202,0.71922,0.00835,0.79321,0.59281,0.70971,0.44062,1.51247,1.44807,0.01484,0.0011684,0.0011684,0.0011684
86,497.872,1.11826,0.67622,0.00901,0.76417,0.6697,0.73477,0.44733,1.52705,1.31784,0.01511,0.0011585,0.0011585,0.0011585
87,503.661,1.08083,0.68597,0.00858,0.79608,0.63939,0.72675,0.43842,1.56325,1.37047,0.01552,0.0011486,0.0011486,0.0011486
88,509.308,1.11011,0.63614,0.00833,0.69074,0.65654,0.71762,0.44522,1.49173,1.36333,0.01483,0.0011387,0.0011387,0.0011387
89,514.935,1.08103,0.65452,0.00749,0.81751,0.61818,0.74872,0.4612,1.50374,1.31871,0.01458,0.0011288,0.0011288,0.0011288
90,520.744,1.08932,0.73327,0.00843,0.78014,0.63442,0.73532,0.46039,1.51108,1.37251,0.01423,0.0011189,0.0011189,0.0011189
91,526.363,1.08115,0.65584,0.0074,0.83761,0.63939,0.7513,0.47819,1.44381,1.37719,0.01368,0.001109,0.001109,0.001109
92,532.125,1.04345,0.59441,0.00781,0.79885,0.67395,0.75469,0.47867,1.46523,1.3061,0.01391,0.0010991,0.0010991,0.0010991
93,537.916,1.06262,0.71925,0.0077,0.75274,0.68788,0.76049,0.46415,1.51597,1.31692,0.01521,0.0010892,0.0010892,0.0010892
94,543.817,1.0586,0.65682,0.00782,0.76521,0.67273,0.73375,0.45901,1.51218,1.34744,0.01492,0.0010793,0.0010793,0.0010793
95,549.49,1.07432,0.63758,0.00811,0.76536,0.67215,0.7379,0.44943,1.55273,1.38756,0.01527,0.0010694,0.0010694,0.0010694
96,555.035,1.02466,0.61621,0.00715,0.77098,0.6697,0.74097,0.45451,1.49713,1.30099,0.01454,0.0010595,0.0010595,0.0010595
97,560.742,1.05868,0.62005,0.00811,0.71315,0.69697,0.74051,0.45654,1.54703,1.22512,0.01526,0.0010496,0.0010496,0.0010496
98,566.506,1.01063,0.57889,0.00753,0.76083,0.70606,0.76968,0.4762,1.49049,1.22178,0.01484,0.0010397,0.0010397,0.0010397
99,572.174,1.0318,0.6876,0.0078,0.80919,0.6697,0.75339,0.47316,1.47784,1.27807,0.01443,0.0010298,0.0010298,0.0010298
100,577.757,1.03377,0.6689,0.00747,0.7491,0.67576,0.72151,0.4553,1.47875,1.30216,0.01379,0.0010199,0.0010199,0.0010199
101,583.424,1.04379,0.66205,0.00841,0.74869,0.66667,0.72513,0.44732,1.51959,1.33396,0.01478,0.00101,0.00101,0.00101
102,589.405,1.01063,0.60804,0.00768,0.86014,0.62424,0.75274,0.45767,1.52554,1.32823,0.01473,0.0010001,0.0010001,0.0010001
103,595.029,1.003,0.61238,0.00732,0.81336,0.65758,0.75536,0.47279,1.50423,1.27726,0.01464,0.0009902,0.0009902,0.0009902
104,600.757,1.00886,0.55403,0.00746,0.80201,0.65455,0.74472,0.46968,1.49828,1.33464,0.01405,0.0009803,0.0009803,0.0009803
105,606.394,1.00513,0.55897,0.00734,0.72973,0.71515,0.73126,0.45078,1.49888,1.25052,0.01445,0.0009704,0.0009704,0.0009704
106,612.379,1.00015,0.55678,0.00693,0.75293,0.67576,0.72738,0.45942,1.49596,1.31204,0.01483,0.0009605,0.0009605,0.0009605
107,618.021,0.99854,0.56377,0.00723,0.80389,0.67273,0.76138,0.49187,1.44524,1.17382,0.01377,0.0009506,0.0009506,0.0009506
108,623.958,1.00087,0.62885,0.00747,0.79923,0.65152,0.74775,0.47472,1.48067,1.24453,0.0149,0.0009407,0.0009407,0.0009407
