clip,mode,tp,fp,fn,precision,recall,f1,map50,map50_95,fp_count
video-frame1,no_hybrid,320,55,182,0.8533333333333334,0.6374501992031872,0.7297605473204104,0.6217423046134751,0.5267833729637152,55
video-frame1,hybrid,322,29,180,0.9173789173789174,0.6414342629482072,0.7549824150058617,0.6280248071040688,0.5539141763552902,29
video-frame2,no_hybrid,385,49,300,0.8870967741935484,0.5620437956204379,0.6881143878462913,0.5412445986356129,0.444090693712036,49
video-frame2,hybrid,433,42,252,0.911578947368421,0.6321167883211679,0.746551724137931,0.620506052357717,0.5397886883108752,42
